      FREQUENCY =  9.458099E+01
                           C O M P L E X   F O R C E S   I N   B U S H   E L E M E N T S   ( C B U S H ) 
                                                         (MAGNITUDE/PHASE)
 
                  ELEMENT-ID        FORCE-X       FORCE-Y       FORCE-Z      MOMENT-X      MOMENT-Y      MOMENT-Z  
0                       2785      1.852063E+03  3.128180E+03  5.680621E+02  4.038414E-02  3.470158E+01  7.670994E+01
0                       2786      2.520386E+03  2.190367E+03  1.007856E+03  4.431654E-02  1.792000E+01  2.060680E+01
0                       2787      1.592502E+04  3.029051E+03  2.552103E-02  2.050386E-08  2.000182E-04  8.268286E+02
0                       2788      2.520409E+03  2.190337E+03  1.007542E+03  4.431288E-02  1.792469E+01  2.060750E+01
0                       2789      1.852044E+03  3.127899E+03  5.683320E+02  4.038808E-02  3.470496E+01  7.670684E+01
0                       2790      1.424733E-02  2.974189E+03  1.810479E-02  4.887817E-03  5.094237E-04  3.502846E+01
0                       2791      1.852063E+03  3.128180E+03  5.680626E+02  4.038405E-02  3.470159E+01  7.670994E+01
0                       2792      2.520385E+03  2.190366E+03  1.007856E+03  4.431666E-02  1.792001E+01  2.060680E+01
0                       2793      1.592502E+04  3.029051E+03  2.587038E-02  1.735053E-08  1.285275E-04  8.268284E+02
0                       2794      2.520409E+03  2.190338E+03  1.007542E+03  4.431279E-02  1.792470E+01  2.060750E+01
0                       2795      1.852044E+03  3.127898E+03  5.683325E+02  4.038812E-02  3.470495E+01  7.670681E+01
0                       2796      2.025398E-02  2.974189E+03  1.767553E-02  4.887814E-03  7.638362E-04  3.502846E+01
