Tensile Total;;Gapping;Sliding;Shear Combined;
MoS_tot_y;MoS_tot_u;MoSg;MoSslip;MoS_comb_y;MoS_comb_u
 0,58 ; 0,83 ; 31,33 ; 4,73 ; 0,58 ; 0,83 
 0,58 ; 0,83 ; 49,05 ; 2,93 ; 0,58 ; 0,83 
 0,58 ; 0,83 ; 10.215.828,59 ; 3,52 ; 0,58 ; 0,83 
 0,58 ; 0,83 ; 49,05 ; 2,93 ; 0,58 ; 0,83 
 0,58 ; 0,83 ; 31,33 ; 4,73 ; 0,58 ; 0,83 
 0,58 ; 0,82 ; 4,47 ; 13,55 ; 0,58 ; 0,82 
 0,58 ; 0,83 ; 31,33 ; 4,73 ; 0,58 ; 0,83 
 0,58 ; 0,83 ; 49,05 ; 2,93 ; 0,58 ; 0,83 
 0,58 ; 0,83 ; 9.777.089,31 ; 3,52 ; 0,58 ; 0,83 
 0,58 ; 0,83 ; 49,05 ; 2,93 ; 0,58 ; 0,83 
 0,58 ; 0,83 ; 31,33 ; 4,73 ; 0,58 ; 0,83 
 0,58 ; 0,82 ; 4,47 ; 13,55 ; 0,58 ; 0,82 
