Element ID;Force-X;Force-Y;Force-Z;Moment-X;Moment-Y;Moment-Z;Faxial;FCortadura
2785;-276,44 ; 99,35 ;-276,28 ; 0,00 ; 1,65 ; 0,85 ; -   ; -   
2786;-178,58 ; 55,37 ;-428,13 ;-0,00 ;-7,10 ;-3,18 ; -   ; -   
2787; 0,00 ; 0,00 ;-380,32 ; 0,00 ;-4,08 ; 0,00 ; -   ; -   
2788; 178,58 ;-55,35 ;-428,16 ;-0,00 ;-7,10 ; 3,18 ; -   ; -   
2789; 276,44 ;-99,38 ;-276,29 ; 0,00 ; 1,65 ;-0,85 ; -   ; -   
2790; 1.633,90 ; 0,00 ; 102,75 ;-0,00 ;-76,24 ;-0,00 ; -   ; -   
2791; 276,44 ; 99,35 ;-276,28 ;-0,00 ; 1,65 ; 0,85 ; -   ; -   
2792; 178,58 ; 55,37 ;-428,13 ; 0,00 ;-7,10 ;-3,18 ; -   ; -   
2793;-0,00 ; 0,00 ;-380,32 ;-0,00 ;-4,08 ; 0,00 ; -   ; -   
2794;-178,58 ;-55,35 ;-428,16 ; 0,00 ;-7,10 ; 3,18 ; -   ; -   
2795;-276,44 ;-99,38 ;-276,29 ;-0,00 ; 1,65 ;-0,85 ; -   ; -   
2796;-1.633,90 ; 0,00 ; 102,75 ;-0,00 ;-76,24 ;-0,00 ; -   ; -   
