Element ID;Force-X;Force-Y;Force-Z;Moment-X;Moment-Y;Moment-Z;Faxial;FCortadura
2785; 251,88 ; 9,07 ; 108,30 ;-0,00 ;-1,46 ;-0,26 ; 277,06 ; 119,55 
2786; 251,87 ; 108,30 ; 9,06 ; 0,00 ; 0,26 ; 1,46 ; 277,06 ; 119,55 
2787; 1.323,22 ;-236,10 ; 0,00 ;-0,00 ; 0,00 ;-56,03 ; 1.455,54 ; 259,71 
2788; 251,88 ; 108,30 ;-9,07 ;-0,00 ;-0,26 ; 1,46 ; 277,06 ; 119,55 
2789; 251,87 ; 9,06 ;-108,30 ; 0,00 ; 1,46 ;-0,26 ; 277,06 ; 119,55 
2790; 1.323,22 ; 0,00 ; 236,10 ;-0,00 ;-56,03 ;-0,00 ; 1.455,54 ; 259,71 
2791; 251,88 ;-9,07 ;-108,30 ;-0,00 ; 1,46 ; 0,26 ; 277,06 ; 119,55 
2792; 251,87 ;-108,30 ;-9,06 ; 0,00 ;-0,26 ;-1,46 ; 277,06 ; 119,55 
2793; 1.323,22 ; 236,10 ;-0,00 ;-0,00 ;-0,00 ; 56,03 ; 1.455,54 ; 259,71 
2794; 251,88 ;-108,30 ; 9,07 ;-0,00 ; 0,26 ;-1,46 ; 277,06 ; 119,55 
2795; 251,87 ;-9,06 ; 108,30 ; 0,00 ;-1,46 ; 0,26 ; 277,06 ; 119,55 
2796; 1.323,22 ;-0,00 ;-236,10 ;-0,00 ; 56,03 ; 0,00 ; 1.455,54 ; 259,71 
