Tensile Total;;Gapping;Sliding;Shear Combined;
MoS_tot_y;MoS_tot_u;MoSg;MoSslip;MoS_comb_y;MoS_comb_u
 0,58 ; 0,83 ; 5,10 ;-0,53 ; 0,52 ; 0,71 
 0,58 ; 0,82 ; 2,88 ;-0,35 ; 0,55 ; 0,77 
 0,54 ; 0,77 ;-0,32 ;-1,02 ; 0,42 ; 0,54 
 0,58 ; 0,82 ; 2,88 ;-0,35 ; 0,55 ; 0,77 
 0,58 ; 0,83 ; 5,10 ;-0,53 ; 0,52 ; 0,71 
 0,58 ; 0,83 ; 538.476,41 ;-0,36 ; 0,54 ; 0,75 
 0,58 ; 0,83 ; 5,10 ;-0,53 ; 0,52 ; 0,71 
 0,58 ; 0,82 ; 2,88 ;-0,35 ; 0,55 ; 0,77 
 0,54 ; 0,77 ;-0,32 ;-1,02 ; 0,42 ; 0,54 
 0,58 ; 0,82 ; 2,88 ;-0,35 ; 0,55 ; 0,77 
 0,58 ; 0,83 ; 5,10 ;-0,53 ; 0,52 ; 0,71 
 0,58 ; 0,83 ; 517.640,72 ;-0,36 ; 0,54 ; 0,75 
